orderid,first_x,first_y,last_x,last_y
556945,121.431,31.332,121.437,31.338
780077,121.47,31.306,121.474,31.315
400049,121.541,31.283,121.544,31.285
65259,121.474,31.211,121.482,31.213
10826,121.481,31.342,121.497,31.347
1394385,121.363,31.239,121.376,31.237
983789,121.393,31.228,121.406,31.231
461511,121.371,31.248,121.375,31.25
1549254,121.535,31.331,121.538,31.33
1657652,121.43,31.227,121.461,31.202
1351091,121.461,31.257,121.477,31.252
1581793,121.506,31.293,121.513,31.296
869129,121.413,31.297,121.419,31.29
1066359,121.505,31.316,121.513,31.311
878445,121.487,31.228,121.491,31.229
1764463,121.474,31.325,121.485,31.32
190246,121.43,31.193,121.436,31.201
524099,121.525,31.314,121.538,31.32
517066,121.327,31.186,121.331,31.184
1498824,121.533,31.268,121.537,31.264
572112,121.422,31.264,121.427,31.268
398349,121.436,31.226,121.442,31.225
47300,121.471,31.292,121.485,31.302
773714,121.334,31.262,121.337,31.261
278546,121.458,31.259,121.46,31.262
1367571,121.484,31.237,121.492,31.23
1161499,121.516,31.28,121.52,31.274
1251528,121.553,31.279,121.557,31.282
899107,121.42,31.198,121.422,31.202
756077,121.454,31.334,121.459,31.335
1055049,121.444,31.258,121.475,31.271
1241341,121.391,31.242,121.397,31.248
1747388,121.514,31.298,121.517,31.296
1206517,121.528,31.307,121.532,31.306
918621,121.507,31.302,121.53,31.309
440791,121.456,31.271,121.467,31.27
82475,121.374,31.234,121.38,31.24
585681,121.521,31.261,121.53,31.261
493302,121.435,31.197,121.44,31.194
1203402,121.525,31.264,121.548,31.278
1726517,121.415,31.2,121.447,31.198
1293924,121.529,31.296,121.532,31.298
909206,121.539,31.279,121.544,31.274
414682,121.467,31.303,121.481,31.307
1242590,121.401,31.129,121.42,31.121
951021,121.5,31.294,121.502,31.295
985495,121.422,31.264,121.443,31.262
722096,121.514,31.276,121.535,31.285
1243550,121.587,31.264,121.588,31.267
59065,121.482,31.201,121.496,31.21
1264694,121.531,31.318,121.532,31.318
1281491,121.367,31.214,121.385,31.21
541979,121.477,31.197,121.485,31.202
1757728,121.518,31.293,121.536,31.276
1123172,121.413,31.299,121.433,31.288
1486490,121.367,31.238,121.371,31.248
180048,121.423,31.171,121.434,31.168
1495011,121.391,31.086,121.398,31.088
1216743,121.474,31.324,121.484,31.334
384737,121.501,31.313,121.513,31.304
79917,121.544,31.272,121.55,31.271
430590,121.531,31.275,121.538,31.277
836985,121.405,31.236,121.411,31.231
1264886,121.503,31.286,121.509,31.281
47171,121.389,31.276,121.393,31.271
1096940,121.428,31.193,121.445,31.196
1112479,121.491,31.269,121.494,31.268
914890,121.533,31.33,121.536,31.33
294511,121.476,31.338,121.49,31.331
1196012,121.48,31.269,121.484,31.272
746077,121.431,31.265,121.444,31.266
1662461,121.468,31.327,121.475,31.322
4296,121.46,31.33,121.461,31.33
1185091,121.42,31.299,121.459,31.258
854011,121.528,31.235,121.534,31.242
934372,121.461,31.273,121.466,31.269
771940,121.435,31.274,121.455,31.307
1216896,121.447,31.224,121.454,31.22
1168928,121.529,31.273,121.534,31.269
1595712,121.507,31.329,121.53,31.328
1546603,121.474,31.325,121.486,31.32
